GISID,mapId,mapcoords_,mapcoords1,Colony
42714,642531,166.8314785,-77.7353003,Hutton Cliffs
42720,642549,166.4452404,-77.65848636,Little Razorback
42722,642559,166.3873047,-77.66398874,Inaccessible Island
42725,642568,166.8507904,-77.73256507,Hutton Cliffs
42729,642576,166.329369,-77.66673903,Inaccessible Island
42737,642595,166.5031761,-77.66948871,Little Razorback
42750,642627,166.5031761,-77.6804814,Big Razorback
42751,642629,166.522488,-77.67498626,Big Razorback
42752,642632,166.4259285,-77.66123786,Little Razorback
42757,642651,166.8121666,-77.66398874,Turks Head Tryggve
42759,642658,166.8314785,-77.66948871,Turks Head Tryggve
42767,642696,166.8894142,-77.70792094,South Base
42769,642712,166.4838642,-77.66948871,Little Razorback
42772,642721,166.522488,-77.66948871,Little Razorback
42788,642772,166.522488,-77.68322807,Big Razorback
42790,642793,166.4838642,-77.66673903,Little Razorback
42792,642807,166.8701023,-77.72435577,Hutton Cliffs
42796,642814,166.4838642,-77.66398874,Little Razorback
42799,642829,166.734919,-77.66948871,Turks Head Tryggve
42804,642850,166.329369,-77.68322807,Tent Island
42808,642866,166.7928547,-77.66948871,Turks Head Tryggve
42819,642911,166.8507904,-77.72161814,Hutton Cliffs
42827,642930,166.9087261,-77.70792094,South Base
42828,642938,166.4452404,-77.66673903,Little Razorback
42833,642950,166.7156071,-77.65573427,Turks Head Tryggve
42845,642996,166.522488,-77.66398874,Little Razorback
